Just so I have it all on one page and in notation I can read quickly,,,,,,,,,
Slit widths,,,,,,,,,
d Bottom/mm,d Top/mm,d Mean/m,delta d /m,distance between minima / mm,,# of minima (= m + 1),Horizontal D /m,Vertical D / m,delta D horizontal / m
d_b,d_t,d,delta_d,y,delta_y,n,D_h,D_v,delta_D_h
0.4974,0.496,0.0004967,0.0000007,131.5,1,21,5.1812,3.00E-02,5.00E-03
0.1954,0.1971,0.00019625,0.00000085,226,3,15,5.1812,3.00E-02,5.00E-03
0.1015,0.0988,0.00010015,0.00000135,197,3,7,5.1812,3.00E-02,5.00E-03
0.0509,0.0484,0.00004965,0.00000125,132,5,3,5.1812,3.00E-02,5.00E-03
0.4974,0.496,0.0004967,0.0000007,235,2,36,5.3112,3.00E-02,5.00E-03
0.1954,0.1971,0.00019625,0.00000085,219,2,14,5.3112,3.00E-02,5.00E-03
0.1015,0.0988,0.00010015,0.00000135,202,4,7,5.3112,3.00E-02,5.00E-03
0.0509,0.0484,0.00004965,0.00000125,134,5,3,5.3112,3.00E-02,5.00E-03
0.4974,0.496,0.0004967,0.0000007,225,3,37,4.8112,3.00E-02,5.00E-03
0.1954,0.1971,0.000196,0.00000085,182,3,13,4.8112,3.00E-02,5.00E-03
0.1015,0.0988,0.00010015,0.00000135,183,4,7,4.8112,3.00E-02,5.00E-03
0.0509,0.0484,0.00004965,0.00000125,121,3,3,4.8112,3.00E-02,5.00E-03
0.4974,0.496,0.0004967,0.0000007,233,1,38,5.0112,3.00E-02,5.00E-03
0.1954,0.1971,0.00019625,0.00000085,221,3,15,5.0112,3.00E-02,5.00E-03
0.1015,0.0988,0.00010015,0.00000135,190,2,7,5.0112,3.00E-02,5.00E-03
0.0509,0.0484,0.00004965,0.00000125,125,5,3,5.0112,3.00E-02,5.00E-03
