Just so I have it all on one page and in notation I can read quickly,,,,,,,,,
Slit widths,,,,,,,,,
d Bottom/mm,d Top/mm,d Mean/m,delta d /m,distance between minima / mm,,# of minima (= m + 1),Horizontal D /m,Vertical D / m,delta D horizontal / m
d_b,d_t,d,delta_d,y,delta_y,n,D_h,D_v,delta_D_h
0.4974,0.496,0.0004967,0.0000007,182,1,29,5.16277,3.00E-02,5.00E-03
0.1954,0.1971,0.00019625,0.00000085,162,2,11,5.16277,3.00E-02,5.00E-03
0.1015,0.0988,0.00010015,0.00000135,193,3,7,5.16277,3.00E-02,5.00E-03
0.0509,0.0484,0.00004965,0.00000125,129,5,3,5.16277,3.00E-02,5.00E-03
0.4974,0.496,0.000497,0.0000007,200,1,35,4.66277,3.00E-02,5.00E-03
0.1954,0.1971,0.00019625,0.00000085,176,2,13,4.66277,3.00E-02,5.00E-03
0.1015,0.0988,0.00010015,0.00000135,175,4,7,4.66277,3.00E-02,5.00E-03
0.0509,0.0484,0.00004965,0.00000125,116,5,3,4.66277,3.00E-02,5.00E-03
0.0234,0.0256,0.0000245,0.0000011,122,17,2,4.66277,3.00E-02,5.00E-03
0.4974,0.496,0.000497,0.0000007,210,2,35,4.91277,3.00E-02,5.00E-03
0.1954,0.1971,0.00019625,0.00000085,184,2,13,4.91277,3.00E-02,5.00E-03
0.1015,0.0988,0.00010015,0.00000135,185,4,7,4.91277,3.00E-02,5.00E-03
0.0509,0.0484,0.00004965,0.00000125,124,10,3,4.91277,3.00E-02,5.00E-03
0.0234,0.0256,0.0000245,0.0000011,123,10,2,4.91277,3.00E-02,5.00E-03
