Minima position for slit 5 /mm,,positive values on the left hand side of the screen,,
Pos,Tom,Lauren,William,Henry
10,65.5,65,65.5,66
9,59.5,59.5,59.5,59
8,52.5,52.5,52,52
7,46.5,46,46,45.5
6,39.5,40,39,39
5,33,33.5,33,33
4,26,26.5,26,25
3,20,20,19.5,20
2,13.5,14,13,13
1,7,6,6.5,7
0,0,0,0,0
-1,-6,-6,-6.5,-6.5
-2,-13,-13,-14,-13
-3,-20,-19,-20,-20
-4,-26.5,-26,-28,-26.6
-5,-33,-32.5,-33,-32.5
-6,-39,-39,-39.5,-38.5
-7,-45.5,-45.5,-46.5,-45
-8,-52,-52,-52.5,-51
-9,-58.5,-59,-60,-58.5
-10,-65.5,-66,-66,-65
